"","District.ID","Ten.Year.Moving.Avg","Year"
"1","Adilabad",407.40925,1906
"2","Agra",299.403,1906
"3","Ahmadabad",199.190666666667,1906
"4","Ahmednagar",420.125333333333,1906
"5","Aizawl",864.302,1906
"6","Ajmer",235.15825,1906
"7","Akola",356.980166666667,1906
"8","Alappuzha",0.11475,1906
"9","Aligarh",281.3335,1906
"10","Allahabad",417.4905,1906
"11","Almora",384.286083333333,1906
"12","Alwar",260.05825,1906
"13","Ambala",230.482916666667,1906
"14","Ambedkar Nagar",353.124,1906
"15","Amravati",363.67575,1906
"16","Amreli",226.133416666667,1906
"17","Amritsar",302.5385,1906
"18","Anand",258.940416666667,1906
"19","Anantapur",357.385583333333,1906
"20","Anantnag (Kashmir South)",587.474,1906
"21","Andaman Islands",86.8235,1906
"22","Angul",514.64875,1906
"23","Araria",446.625583333333,1906
"24","Ariyalur",374.7295,1906
"25","Auraiya",294.0795,1906
"26","Aurangabad",385.91375,1906
"27","Azamgarh",375.683583333333,1906
"28","Badaun",299.729416666667,1906
"29","Bagalkot",476.4765,1906
"30","Bagdam",663.804666666667,1906
"31","Bageshwar",527.284916666667,1906
"32","Baghpat",236.988916666667,1906
"33","Bahraich",366.770166666667,1906
"34","Balaghat",501.51725,1906
"35","Baleshwar",567.220166666667,1906
"36","Ballia",371.835583333333,1906
"37","Balrampur",376.577833333333,1906
"38","Banas Kantha",140.31325,1906
"39","Banda",404.5095,1906
"40","Bangalore Rural",420.433166666667,1906
"41","Bangalore Urban",417.81525,1906
"42","Banka",501.375333333333,1906
"43","Bankura",582.852166666667,1906
"44","Banswara",292.73775,1906
"45","Bara Banki",349.877583333333,1906
"46","Baragarh",509.369416666667,1906
"47","Baramula (Kashmir North)",693.28675,1906
"48","Baran",312.80925,1906
"49","Barddhaman",565.011,1906
"50","Bareilly",302.972083333333,1906
"51","Barmer",131.107,1906
"52","Barpeta",750.958583333333,1906
"53","Barwani",294.991666666667,1906
"54","Bastar",573.5905,1906
"55","Basti",336.413916666667,1906
"56","Bathinda",178.7225,1906
"57","Begusarai",419.428166666667,1906
"58","Belgaum",636.625083333333,1906
"59","Bellary",416.48475,1906
"60","Betul",398.59025,1906
"61","Bhabua",444.552166666667,1906
"62","Bhadrak",551.39825,1906
"63","Bhagalpur",461.176083333333,1906
"64","Bhandara",474.321916666667,1906
"65","Bharatpur",288.57325,1906
"66","Bharuch",343.908333333333,1906
"67","Bhavnagar",262.218166666667,1906
"68","Bhilwara",262.16775,1906
"69","Bhind",319.008833333333,1906
"70","Bhiwani",207.24725,1906
"71","Bhojpur",411.71825,1906
"72","Bhopal",352.796916666667,1906
"73","Bid",301.600083333333,1906
"74","Bidar",367.775333333333,1906
"75","Bijapur",356.988083333334,1906
"76","Bijnor",287.935166666667,1906
"77","Bikaner",146.219583333333,1906
"78","Bilaspur",287.180083333333,1906
"79","Birbhum",559.878166666667,1906
"80","Bishnupur",873.51625,1906
"81","Bokaro",568.888916666667,1906
"82","Bolangir",507.596416666667,1906
"83","Boudh",503.563666666667,1906
"84","Bulandshahr",278.125833333333,1906
"85","Buldana",343.566416666667,1906
"86","Bundi",276.643083333333,1906
"87","Buxar",404.427416666667,1906
"88","Cachar",955.429,1906
"89","Chamba",466.413666666667,1906
"90","Chamoli",571.6715,1906
"91","Champawat",358.253166666667,1906
"92","Champhai",863.47175,1906
"93","Chamrajnagar",625.3285,1906
"94","Chandauli",440.70175,1906
"95","Chandel",884.44425,1906
"96","Chandigarh",237.116666666667,1906
"97","Chandrapur",419.773666666667,1906
"98","Changlang",921.503416666667,1906
"99","Chatra",535.935166666667,1906
"100","Chennai",399.180333333333,1906
"101","Chhatarpur",389.806,1906
"102","Chhindwara",442.27825,1906
"103","Chikmagalur",815.410583333333,1906
"104","Chitradurga",511.002583333333,1906
"105","Chitrakoot",435.325583333333,1906
"106","Chittaurgarh",288.16225,1906
