"","District.ID","X","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad",48269,"Andhra Pradesh",1923,4659.8,4914.146,1923,3685.6095,0
"2","Agra",12467,"Uttar Pradesh",1923,3649.54,3711.298,1923,2783.4735,0
"3","Ahmadabad",42455,"Gujarat",1923,1842.95,2464.128,1923,1848.096,1
"4","Ahmednagar",47249,"Maharashtra",1923,4670.25,4853.606,1923,3640.2045,0
"5","Aizawl",25319,"Mizoram",1923,9737.03,10289.186,1923,7716.8895,0
"6","Ajmer",9815,"Rajasthan",1923,3127.03,2965.378,1923,2224.0335,0
"7","Akola",45107,"Maharashtra",1923,4362.52,4330.415,1923,3247.81125,0
"8","Alappuzha",54695,"Kerala",1923,1.39,1.441,1923,1.08075,0
"9","Aligarh",12161,"Uttar Pradesh",1923,3412.73,3504.286,1923,2628.2145,0
"10","Allahabad",15527,"Uttar Pradesh",1923,5316.73,5335.443,1923,4001.58225,0
"11","Almora",5225,"Uttaranchal",1923,4735.82,4848.311,1923,3636.23325,0
"12","Alwar",8285,"Rajasthan",1923,3386.12,3289.176,1923,2466.882,0
"13","Ambala",5837,"Haryana",1923,3033.66,2850.775,1923,2138.08125,0
"14","Ambedkar Nagar",15833,"Uttar Pradesh",1923,4480.12,4543.13,1923,3407.3475,0
"15","Amravati",45311,"Maharashtra",1923,4436.36,4431.096,1923,3323.322,0
"16","Amreli",43067,"Gujarat",1923,1863.12,2642.367,1923,1981.77525,1
"17","Amritsar",2675,"Punjab",1923,4079.48,3651.121,1923,2738.34075,0
"18","Anand",43271,"Gujarat",1923,2456.78,3182.393,1923,2386.79475,0
"19","Anantapur",50411,"Andhra Pradesh",1923,3417.88,4022.501,1923,3016.87575,0
"20","Anantnag (Kashmir South)",533,"Jammu and Kashmir",1923,7422.75,6729.638,1923,5047.2285,0
"21","Andaman Islands",58571,"Andaman and Nicobar",1923,1053.59,1007.277,1923,755.45775,0
"22","Angul",33989,"Orissa",1923,6046.35,6529.453,1923,4897.08975,0
"23","Araria",18791,"Bihar",1923,4801.96,5415.969,1923,4061.97675,0
"24","Ariyalur",56735,"Tamil Nadu",1923,4278.92,4525.24,1923,3393.93,0
"25","Auraiya",14201,"Uttar Pradesh",1923,3538.07,3728.727,1923,2796.54525,0
"26","Aurangabad (Bihar)",21545,"Bihar",1923,5884.46,5846.393,1923,4384.79475,0
"27","Aurangabad (Maharashtra)",46535,"Maharashtra",1923,3698.7,3836.081,1923,2877.06075,0
"28","Azamgarh",17159,"Uttar Pradesh",1923,4834.65,4838.255,1923,3628.69125,0
"29","Badaun",12875,"Uttar Pradesh",1923,3615.71,3784.073,1923,2838.05475,0
"30","Bagalkot",50717,"Karnataka",1923,4513.71,5341.657,1923,4006.24275,0
"31","Bagdam",329,"Jammu and Kashmir",1923,8402.86,7543.791,1923,5657.84325,0
"32","Bageshwar",5123,"Uttaranchal",1923,6322.53,6582.291,1923,4936.71825,0
"33","Baghpat",11753,"Uttar Pradesh",1923,3156.37,2936.043,1923,2202.03225,0
"34","Bahraich",16037,"Uttar Pradesh",1923,4402.65,4644.702,1923,3483.5265,0
"35","Balaghat",41741,"Madhya Pradesh",1923,5878.59,6191.371,1923,4643.52825,0
"36","Baleshwar",33275,"Orissa",1923,6568.76,6977.991,1923,5233.49325,0
"37","Ballia",17363,"Uttar Pradesh",1923,4767.47,4750.399,1923,3562.79925,0
"38","Balrampur",16241,"Uttar Pradesh",1923,4696.82,4802.597,1923,3601.94775,0
"39","Banas Kantha",41945,"Gujarat",1923,1314.59,1794.094,1923,1345.5705,1
"40","Banda",15017,"Uttar Pradesh",1923,5354.79,5207.22,1923,3905.415,0
"41","Bangalore Rural",52655,"Karnataka",1923,4503.37,4747.706,1923,3560.7795,0
"42","Bangalore Urban",52553,"Karnataka",1923,4468.93,4722.412,1923,3541.809,0
"43","Banka",20423,"Bihar",1923,5829.48,6276.316,1923,4707.237,0
"44","Bankura",30113,"West Bengal",1923,6706.9,7172.846,1923,5379.6345,0
"45","Banswara",10529,"Rajasthan",1923,3312.62,3592.756,1923,2694.567,0
"46","Bara Banki",15629,"Uttar Pradesh",1923,4285.87,4440.089,1923,3330.06675,0
"47","Baragarh",32561,"Orissa",1923,5794.78,6342.927,1923,4757.19525,0
"48","Baramula (Kashmir North)",125,"Jammu and Kashmir",1923,8856.5,7875.48,1923,5906.61,0
"49","Baran",10835,"Rajasthan",1923,4151.8,3893.166,1923,2919.8745,0
"50","Barddhaman",29705,"West Bengal",1923,6420.83,6886.885,1923,5165.16375,0
"51","Bareilly",12977,"Uttar Pradesh",1923,3634.46,3860.518,1923,2895.3885,0
"52","Barmer",9407,"Rajasthan",1923,1393.07,1645.664,1923,1234.248,0
"53","Barpeta",27053,"Assam",1923,8450.25,8811.016,1923,6608.262,0
"54","Barwani",40007,"Madhya Pradesh",1923,3355.3,3724.346,1923,2793.2595,0
"55","Bastar",37049,"Chhattisgarh",1923,6029.07,7031.464,1923,5273.598,0
"56","Basti",16547,"Uttar Pradesh",1923,4229.98,4315.933,1923,3236.94975,0
"57","Bathinda",3899,"Punjab",1923,2252.85,2176.546,1923,1632.4095,0
"58","Begusarai",20117,"Bihar",1923,5013.63,5307.739,1923,3980.80425,0
"59","Belgaum",50615,"Karnataka",1923,6550.75,7298.658,1923,5473.9935,0
"60","Bellary",51737,"Karnataka",1923,4052.8,4609.518,1923,3457.1385,0
"61","Betul",40721,"Madhya Pradesh",1923,4936.49,4934.455,1923,3700.84125,0
"62","Bhabua",21239,"Bihar",1923,5912.7,5751.547,1923,4313.66025,0
"63","Bhadrak",33377,"Orissa",1923,6539.92,6838.009,1923,5128.50675,0
"64","Bhagalpur",20321,"Bihar",1923,5234.48,5701.905,1923,4276.42875,0
"65","Bhandara",45617,"Maharashtra",1923,5347.23,5749.782,1923,4312.3365,0
"66","Bharatpur",8387,"Rajasthan",1923,3622.08,3582.646,1923,2686.9845,0
"67","Bharuch",43883,"Gujarat",1923,3152.12,4129.129,1923,3096.84675,0
"68","Bhavnagar",43169,"Gujarat",1923,2297.9,3095.87,1923,2321.9025,1
"69","Bhilwara",10121,"Rajasthan",1923,3406.84,3288.488,1923,2466.366,0
"70","Bhind",37457,"Madhya Pradesh",1923,3980.6,4011.482,1923,3008.6115,0
"71","Bhiwani",6959,"Haryana",1923,2677.76,2587.899,1923,1940.92425,0
