"","District.ID","State.ID","Year.x","Annual.Rainfall","Ten.Year.MA.AR","Year.y","Ten.Year.MA.AR.75","Drought"
"1","Adilabad","Andhra Pradesh",1953,5547.14,5165.554,1953,3874.1655,0
"2","Agra","Uttar Pradesh",1953,3395.12,3984.515,1953,2988.38625,0
"3","Ahmadabad","Gujarat",1953,2437.59,2479.547,1953,1859.66025,0
"4","Ahmednagar","Maharashtra",1953,4925.7,5409.188,1953,4056.891,0
"5","Aizawl","Mizoram",1953,11119.33,10955.074,1953,8216.3055,0
"6","Ajmer","Rajasthan",1953,3086.31,3178.175,1953,2383.63125,0
"7","Akola","Maharashtra",1953,4675.42,4704.621,1953,3528.46575,0
"8","Alappuzha","Kerala",1953,1.43,1.383,1953,1.03725,0
"9","Aligarh","Uttar Pradesh",1953,3357.24,3703.895,1953,2777.92125,0
"10","Allahabad","Uttar Pradesh",1953,5213.44,5366.981,1953,4025.23575,0
"11","Almora","Uttaranchal",1953,4430.67,4794.651,1953,3595.98825,0
"12","Alwar","Rajasthan",1953,3096.69,3500.344,1953,2625.258,0
"13","Ambala","Haryana",1953,3099.11,2930.848,1953,2198.136,0
"14","Ambedkar Nagar","Uttar Pradesh",1953,4646.27,4595.178,1953,3446.3835,0
"15","Amravati","Maharashtra",1953,4569.39,4593.309,1953,3444.98175,0
"16","Amreli","Gujarat",1953,2995.91,2821.768,1953,2116.326,0
"17","Amritsar","Punjab",1953,3943.58,3845.082,1953,2883.8115,0
"18","Anand","Gujarat",1953,3092.32,3145.159,1953,2358.86925,0
"19","Anantapur","Andhra Pradesh",1953,3860.15,4332.369,1953,3249.27675,0
"20","Anantnag (Kashmir South)","Jammu and Kashmir",1953,7697.29,7169.462,1953,5377.0965,0
"21","Andaman Islands","Andaman and Nicobar",1953,1073.66,1045.975,1953,784.48125,0
"22","Angul","Orissa",1953,5822.1,6307.68,1953,4730.76,0
"23","Araria","Bihar",1953,5368.29,5525.258,1953,4143.9435,0
"24","Ariyalur","Tamil Nadu",1953,4491.07,4319.967,1953,3239.97525,0
"25","Auraiya","Uttar Pradesh",1953,3485.69,3934.172,1953,2950.629,0
"26","Aurangabad (Bihar)","Bihar",1953,5677.13,5621.648,1953,4216.236,0
"27","Aurangabad (Maharashtra)","Maharashtra",1953,3854.01,4234.546,1953,3175.9095,0
"28","Azamgarh","Uttar Pradesh",1953,4974.29,4849.082,1953,3636.8115,0
"29","Badaun","Uttar Pradesh",1953,3578.85,3884.234,1953,2913.1755,0
"30","Bagalkot","Karnataka",1953,5615.07,6153.025,1953,4614.76875,0
