"","X","Date","Monthly.Rainfall.Almora","Year","Month"
"87",87,"1987-01-01",264.45,1987,1
"88",88,"1988-01-01",117.07,1988,1
"89",89,"1989-01-01",347.24,1989,1
"90",90,"1990-01-01",76.13,1990,1
"91",91,"1991-01-01",101.63,1991,1
"92",92,"1992-01-01",237.7,1992,1
"93",93,"1993-01-01",180.14,1993,1
"94",94,"1994-01-01",167.3,1994,1
"95",95,"1995-01-01",309.27,1995,1
"96",96,"1996-01-01",289.59,1996,1
"97",97,"1997-01-01",168.53,1997,1
"98",98,"1998-01-01",114.81,1998,1
"99",99,"1999-01-01",173.21,1999,1
"100",100,"2000-01-01",173.31,2000,1
"101",101,"2001-01-01",116.18,2001,1
"102",102,"2002-01-01",251.64,2002,1
"189",189,"1987-02-01",208.75,1987,2
"190",190,"1988-02-01",213.54,1988,2
"191",191,"1989-02-01",139.8,1989,2
"192",192,"1990-02-01",324.18,1990,2
"193",193,"1991-02-01",222.21,1991,2
"194",194,"1992-02-01",249.38,1992,2
"195",195,"1993-02-01",139.07,1993,2
"196",196,"1994-02-01",130.05,1994,2
"197",197,"1995-02-01",255.56,1995,2
"198",198,"1996-02-01",235.35,1996,2
"199",199,"1997-02-01",109.63,1997,2
"200",200,"1998-02-01",213.58,1998,2
"201",201,"1999-02-01",117.09,1999,2
"202",202,"2000-02-01",291.57,2000,2
"203",203,"2001-02-01",138.08,2001,2
"204",204,"2002-02-01",274.16,2002,2
"291",291,"1987-03-01",138.75,1987,3
"292",292,"1988-03-01",248.41,1988,3
"293",293,"1989-03-01",221.99,1989,3
"294",294,"1990-03-01",268.4,1990,3
"295",295,"1991-03-01",173.4,1991,3
"296",296,"1992-03-01",228.51,1992,3
"297",297,"1993-03-01",231,1993,3
"298",298,"1994-03-01",234.96,1994,3
"299",299,"1995-03-01",282.7,1995,3
"300",300,"1996-03-01",149.61,1996,3
"301",301,"1997-03-01",170.81,1997,3
"302",302,"1998-03-01",268.51,1998,3
"303",303,"1999-03-01",76,1999,3
"304",304,"2000-03-01",146.11,2000,3
"305",305,"2001-03-01",100.38,2001,3
"306",306,"2002-03-01",284.88,2002,3
"393",393,"1987-04-01",115.49,1987,4
"394",394,"1988-04-01",155.75,1988,4
"395",395,"1989-04-01",100.25,1989,4
"396",396,"1990-04-01",104.04,1990,4
"397",397,"1991-04-01",156.19,1991,4
"398",398,"1992-04-01",112.49,1992,4
"399",399,"1993-04-01",108.93,1993,4
"400",400,"1994-04-01",115.54,1994,4
"401",401,"1995-04-01",124.78,1995,4
"402",402,"1996-04-01",119.37,1996,4
"403",403,"1997-04-01",112.4,1997,4
"404",404,"1998-04-01",180.91,1998,4
"405",405,"1999-04-01",61.86,1999,4
"406",406,"2000-04-01",100.28,2000,4
"407",407,"2001-04-01",177.38,2001,4
