"","Year","Day","Daily.Rainfall.Kausani","Month","Date"
"1","1988",1,"0","01",1988-01-01
"2","1988",2,"0","01",1988-01-02
"3","1988",3,"0","01",1988-01-03
"4","1988",4,"0","01",1988-01-04
"5","1988",5,"0","01",1988-01-05
"6","1988",6,"1.8","01",1988-01-06
"7","1988",7,"0","01",1988-01-07
"8","1988",8,"0","01",1988-01-08
"9","1988",9,"0","01",1988-01-09
"10","1988",10,"0","01",1988-01-10
"11","1988",11,"1.6","01",1988-01-11
"12","1988",12,"12.4","01",1988-01-12
"13","1988",13,"2.4","01",1988-01-13
"14","1988",14,"0","01",1988-01-14
"15","1988",15,"0","01",1988-01-15
"16","1988",16,"0","01",1988-01-16
"17","1988",17,"0","01",1988-01-17
"18","1988",18,"0","01",1988-01-18
"19","1988",19,"0","01",1988-01-19
"20","1988",20,"0","01",1988-01-20
"21","1988",21,"0","01",1988-01-21
"22","1988",22,"0","01",1988-01-22
"23","1988",23,"0","01",1988-01-23
"24","1988",24,"0","01",1988-01-24
"25","1988",25,"0","01",1988-01-25
"26","1988",26,"0","01",1988-01-26
"27","1988",27,"0","01",1988-01-27
"28","1988",28,"2.2","01",1988-01-28
"29","1988",29,"0","01",1988-01-29
"30","1988",30,"0","01",1988-01-30
"31","1988",31,"0","01",1988-01-31
"32","1988",1,"0","02",1988-02-01
"33","1988",2,"0","02",1988-02-02
"34","1988",3,"0","02",1988-02-03
"35","1988",4,"0","02",1988-02-04
"36","1988",5,"0","02",1988-02-05
"37","1988",6,"0","02",1988-02-06
"38","1988",7,"0","02",1988-02-07
"39","1988",8,"0","02",1988-02-08
"40","1988",9,"0","02",1988-02-09
"41","1988",10,"0","02",1988-02-10
"42","1988",11,"2.0","02",1988-02-11
"43","1988",12,"6.4","02",1988-02-12
"44","1988",13,"0.2","02",1988-02-13
"45","1988",14,"0.6","02",1988-02-14
"46","1988",15,"0","02",1988-02-15
"47","1988",16,"0","02",1988-02-16
"48","1988",17,"0","02",1988-02-17
"49","1988",18,"0","02",1988-02-18
"50","1988",19,"0","02",1988-02-19
"51","1988",20,"0","02",1988-02-20
"52","1988",21,"14.8","02",1988-02-21
"53","1988",22,"16.6","02",1988-02-22
"54","1988",23,"2.6","02",1988-02-23
"55","1988",24,"0","02",1988-02-24
"56","1988",25,"0","02",1988-02-25
