-,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,-,-,3.2,25.6,0.2,-,23.2,-,-,-
2,3.2,-,-,-,2.6,34.2,-,1,18,-,-,-
3,-,-,-,-,-,-,-,1,-,-,-,-
4,1.2,-,-,-,-,33.4,-,-,-,1,5.4,-
5,19.4,2.6,-,-,-,4.2,-,-,-,0.2,1.4,-
6,27,-,-,-,-,0.2,-,1,-,-,-,-
7,48.2,-,-,-,-,-,3,-,-,3.2,-,-
8,33.4,-,-,-,-,-,10.8,20,-,-,-,-
9,-,-,-,1,-,-,16.4,0.2,-,-,-,-
10,-,-,-,-,-,14,0.2,-,1.6,0.2,-,-
11,-,-,-,-,0.6,-,0.8,-,0.8,-,-,-
12,-,-,-,-,2.4,-,49.2,-,1.6,-,-,-
13,-,1,1.4,-,8.8,6.4,5.2,2.2,-,-,-,-
14,-,-,5.4,-,-,0.8,23.8,0.2,11.4,-,-,-
15,-,-,-,-,-,-,9.8,5.6,8.6,-,-,-
16,-,0.6,-,-,2.6,1.2,2.8,7.4,-,-,-,-
17,-,Trace,-,-,-,-,-,2.8,6.2,-,-,-
18,-,*11.2,Trace,-,13,-,-,5,-,-,-,-
19,-,-,-,-,-,2,-,8.6,-,-,-,1
20,-,-,-,-,-,7,19.2,13,-,-,-,6
21,-,-,-,-,-,10.8,2.4,17,2.2,-,-,4
22,-,-,-,-,-,4.6,-,18.8,0.2,-,-,0.8
23,-,-,-,-,1.8,11.4,18.8,0.4,-,-,-,3.4
24,-,-,-,-,0.2,5,-,25.6,-,-,6,1.4
25,-,-,-,-,-,0.4,-,4,0.2,-,0.6,-
26,-,-,-,2.6,-,20,2,25,3.4,-,-,-
27,-,-,6.8,-,-,0.8,0.2,31.4,-,-,-,-
28,-,-,8.4,-,-,1.2,20,46.8,-,-,-,-
29,-,-,-,-,-,-,26.4,0.2,-,-,-,-
30,-,-,-,-,5,-,9.4,1.8,-,-,-,-
31,-,-,-,-,-,-,-,10.4,-,-,-,-
