"X","Year","Day","Daily.Rainfall.Kausani","Month","Date"
"1","1989",1,"0","01",1989-01-01
"2","1989",2,"3.2","01",1989-01-02
"3","1989",3,"0","01",1989-01-03
"4","1989",4,"1.2","01",1989-01-04
"5","1989",5,"19.4","01",1989-01-05
"6","1989",6,"27","01",1989-01-06
"7","1989",7,"48.2","01",1989-01-07
"8","1989",8,"33.4","01",1989-01-08
"9","1989",9,"0","01",1989-01-09
"10","1989",10,"0","01",1989-01-10
"11","1989",11,"0","01",1989-01-11
"12","1989",12,"0","01",1989-01-12
"13","1989",13,"0","01",1989-01-13
"14","1989",14,"0","01",1989-01-14
"15","1989",15,"0","01",1989-01-15
"16","1989",16,"0","01",1989-01-16
"17","1989",17,"0","01",1989-01-17
"18","1989",18,"0","01",1989-01-18
"19","1989",19,"0","01",1989-01-19
"20","1989",20,"0","01",1989-01-20
"21","1989",21,"0","01",1989-01-21
"22","1989",22,"0","01",1989-01-22
"23","1989",23,"0","01",1989-01-23
"24","1989",24,"0","01",1989-01-24
"25","1989",25,"0","01",1989-01-25
"26","1989",26,"0","01",1989-01-26
"27","1989",27,"0","01",1989-01-27
"28","1989",28,"0","01",1989-01-28
"29","1989",29,"0","01",1989-01-29
"30","1989",30,"0","01",1989-01-30
"31","1989",31,"0","01",1989-01-31
"32","1989",1,"0","02",1989-02-01
"33","1989",2,"0","02",1989-02-02
"34","1989",3,"0","02",1989-02-03
"35","1989",4,"0","02",1989-02-04
"36","1989",5,"2.6","02",1989-02-05
"37","1989",6,"0","02",1989-02-06
"38","1989",7,"0","02",1989-02-07
"39","1989",8,"0","02",1989-02-08
"40","1989",9,"0","02",1989-02-09
"41","1989",10,"0","02",1989-02-10
"42","1989",11,"0","02",1989-02-11
"43","1989",12,"0","02",1989-02-12
"44","1989",13,"1","02",1989-02-13
"45","1989",14,"0","02",1989-02-14
"46","1989",15,"0","02",1989-02-15
"47","1989",16,"0.6","02",1989-02-16
"48","1989",17,"0","02",1989-02-17
"49","1989",18,"11.2","02",1989-02-18
"50","1989",19,"0","02",1989-02-19
"51","1989",20,"0","02",1989-02-20
"52","1989",21,"0","02",1989-02-21
"53","1989",22,"0","02",1989-02-22
"54","1989",23,"0","02",1989-02-23
"55","1989",24,"0","02",1989-02-24
"56","1989",25,"0","02",1989-02-25
"57","1989",26,"0","02",1989-02-26
"58","1989",27,"0","02",1989-02-27
"59","1989",28,"0","02",1989-02-28
"63","1989",1,"0","03",1989-03-01
"64","1989",2,"0","03",1989-03-02
"65","1989",3,"0","03",1989-03-03
"66","1989",4,"0","03",1989-03-04
"67","1989",5,"0","03",1989-03-05
"68","1989",6,"0","03",1989-03-06
"69","1989",7,"0","03",1989-03-07
"70","1989",8,"0","03",1989-03-08
"71","1989",9,"0","03",1989-03-09
"72","1989",10,"0","03",1989-03-10
"73","1989",11,"0","03",1989-03-11
"74","1989",12,"0","03",1989-03-12
"75","1989",13,"1.4","03",1989-03-13
"76","1989",14,"5.4","03",1989-03-14
"77","1989",15,"0","03",1989-03-15
"78","1989",16,"0","03",1989-03-16
"79","1989",17,"0","03",1989-03-17
"80","1989",18,"0","03",1989-03-18
"81","1989",19,"0","03",1989-03-19
"82","1989",20,"0","03",1989-03-20
"83","1989",21,"0","03",1989-03-21
"84","1989",22,"0","03",1989-03-22
"85","1989",23,"0","03",1989-03-23
"86","1989",24,"0","03",1989-03-24
"87","1989",25,"0","03",1989-03-25
"88","1989",26,"0","03",1989-03-26
"89","1989",27,"6.8","03",1989-03-27
"90","1989",28,"8.4","03",1989-03-28
"91","1989",29,"0","03",1989-03-29
"92","1989",30,"0","03",1989-03-30
"93","1989",31,"0","03",1989-03-31
"94","1989",1,"0","04",1989-04-01
"95","1989",2,"0","04",1989-04-02
"96","1989",3,"0","04",1989-04-03
"97","1989",4,"0","04",1989-04-04
"98","1989",5,"0","04",1989-04-05
"99","1989",6,"0","04",1989-04-06
"100","1989",7,"0","04",1989-04-07
"101","1989",8,"0","04",1989-04-08
"102","1989",9,"1","04",1989-04-09
"103","1989",10,"0","04",1989-04-10
"104","1989",11,"0","04",1989-04-11
"105","1989",12,"0","04",1989-04-12
"106","1989",13,"0","04",1989-04-13
"107","1989",14,"0","04",1989-04-14
"108","1989",15,"0","04",1989-04-15
"109","1989",16,"0","04",1989-04-16
"110","1989",17,"0","04",1989-04-17
"111","1989",18,"0","04",1989-04-18
"112","1989",19,"0","04",1989-04-19
"113","1989",20,"0","04",1989-04-20
"114","1989",21,"0","04",1989-04-21
"115","1989",22,"0","04",1989-04-22
"116","1989",23,"0","04",1989-04-23
"117","1989",24,"0","04",1989-04-24
"118","1989",25,"0","04",1989-04-25
"119","1989",26,"2.6","04",1989-04-26
"120","1989",27,"0","04",1989-04-27
"121","1989",28,"0","04",1989-04-28
"122","1989",29,"0","04",1989-04-29
"123","1989",30,"0","04",1989-04-30
"125","1989",1,"3.2","05",1989-05-01
"126","1989",2,"2.6","05",1989-05-02
"127","1989",3,"0","05",1989-05-03
"128","1989",4,"0","05",1989-05-04
"129","1989",5,"0","05",1989-05-05
"130","1989",6,"0","05",1989-05-06
"131","1989",7,"0","05",1989-05-07
"132","1989",8,"0","05",1989-05-08
"133","1989",9,"0","05",1989-05-09
"134","1989",10,"0","05",1989-05-10
"135","1989",11,"0.6","05",1989-05-11
"136","1989",12,"2.4","05",1989-05-12
"137","1989",13,"8.8","05",1989-05-13
"138","1989",14,"0","05",1989-05-14
"139","1989",15,"0","05",1989-05-15
"140","1989",16,"2.6","05",1989-05-16
"141","1989",17,"0","05",1989-05-17
"142","1989",18,"13","05",1989-05-18
"143","1989",19,"0","05",1989-05-19
"144","1989",20,"0","05",1989-05-20
"145","1989",21,"0","05",1989-05-21
"146","1989",22,"0","05",1989-05-22
"147","1989",23,"1.8","05",1989-05-23
"148","1989",24,"0.2","05",1989-05-24
"149","1989",25,"0","05",1989-05-25
"150","1989",26,"0","05",1989-05-26
"151","1989",27,"0","05",1989-05-27
"152","1989",28,"0","05",1989-05-28
"153","1989",29,"0","05",1989-05-29
"154","1989",30,"5","05",1989-05-30
"155","1989",31,"0","05",1989-05-31
"156","1989",1,"25.6","06",1989-06-01
"157","1989",2,"34.2","06",1989-06-02
