,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,3.2,-,-,-,3.6,-,6.0,8.4,7.2,-,-,-
2,12.6,-,,0.6,3.6,17.8,-,2.0,-,-,-,-
3,,1.2,1.0,,,-,6.4,16.6,-,,-,-
4,,-,18.2,,,20.8,27.2,16.8,8.8,-,-,-
5,,-,,,,-,0.8,10.6,13.8,-,-,-
6,,-,,,,0.6,4.8,2.4,0.4,-,-,-
7,,-,,,,45.4,-,4.8,-,-,-,-
8,,-,4.0,8.2,,-,-,19.0,-,-,-,-
9,,_,Trace,7.6,4.6,6.2,-,11.8,3.8,-,5.8,-
10,,Trace,,,,29.0,6.2,4.2,8.0,-,0.4,-
11,,22.2,,,,8.8,11.2,-,0.6,-,7.2,-
12,,-,,,,3.4,4.6,-,5.4,-,-,-
13,,-,18.6,10.0,-,1.2,2.4,,16.4,-,-,-
14,0.4,-,4.2,1.2,,-,1.6,0.4,12.6,,,-
15,-,-,-,,,-,28.4,55.0,2.2,-,,-
16,,-,-,,,7.0,1.2,64.2,-,,,-
17,,-,,-,,7.2,0.2,19.6,-,,,-
18,,-,,-,,-,1.2,2.0,-,,,-
19,,,,,11.2,0.6,1.8,-,-,,,-
20,,-,,,1.0,-,4.4,17.0,-,,,-
21,,..,,,,-,8.0,-,-,-,,6.0
22,,-,12.0,,2.4,-,3.6,-,-,,,0.2
23,,-,3.2,,,-,-,2.6,-,,,3.4
24,,0.6,2.4,0.6,,-,2.6,29.8,-,,,*47•4
25,,11.6,,,23.0,-,9.6,9.6,-,,,
26,,22.8,-,,,-,-,21.4,-,,,
27,,,-,,,-,-,4.2,-,,,-
28,,3.6,-,,,-,-,4.8,-,,,0.2
29,,,-,,2.4,-,0.2,11.4,-,,,-
30,,,-,,0.6,-,7.2,-,-,,,-
31,,,-,,8.2,,1.6,2.4,,,,-
