X,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec
1,-,-,18,10.4,-,1.8,Trace,Trace,2.2,-,-,-
2,-,-,24.2,-,Trace,Trace,Trace,29.2,5,-,-,-
3,-,-,-,-,-,-,163.4,33.8,4.2,,-,-
4,-,-,-,-,-,0.6,4.3,0.8,1.8,-,-,-
5,-,0.4,-,-,-,7.6,Trace,9.8,23,-,-,-
6,-,5.2,-,_,9.4,Trace,8,-,21.6,-,-,-
7,-,6.2,-,-,0.6,0.8,-,6,3.2,Trace,_,_
8,-,13.2,4.2,-,Trace,0.2,-,.,1.8,-,-,-
9,-,3.2,-,3.2,0.2,2.2,-,2.6,16.8,-,-,-
10,-,2.6,-,6.4,-,Trace,_,2.2,34.2,Trace,_,_
11,-,41.4,-,Trace,-,4.2,-,8.2,23.4,5.4,-,-
12,-,0.2,-,-,-,-,3.4,2,7,5,-,-
13,-,-,-,-,_,Trace,0.4,9.6,2.6,-,-,-
14,3.4,-,-,-,2.8,-,4.8,0.8,-,0.2,-,-
15,19.1,-,-,-,-,-,1.8,4.4,-,-,-,-
16,Trace,_,_,_,Trace,-,110,Trace,-,-,-,-
17,1,-,-,-,-,3.2,-,-,-,-,-,-
18,4.1,-,-,-,-,-,1.2,3,-,Trace,_,_
19,-,-,-,-,9.4,-,3.4,2.2,-,-,-,-
20,3.5,-,5.6,-,6.8,-,0.2,0.4,-,-,-,-
21,-,-,2,-,-,-,-,18.6,-,-,-,-
27,_,8.3,_,_,_,Trace,-,1.4,-,-,-,-
23,-,6.1,3,Trace,-,2.3,-,16,0.2,-,-,-
24,-,10.1,0.8,1,28,24.2,-,2.4,-,-,_,Trace
25,-,-,2,30,12.8,2.4,Trace,5.2,-,-,-,_
26,7.4,-,-,1.2,-,2.6,6,0.8,-,-,-,-
27,9,-,-,,Trace,9.8,-,5.6,-,-,-,-
28,1.8,1,-,8.2,1,Trace,-,14.2,-,-,-,-
29,-,,1.2,-,-,0.8,-,4,-,-,-,-
30,-,,-,-,1,1.8,Trace,23,-,-,-,1
31,,,_,,Trace,,13.8,0.2,,- r,,11.8
