"","State","District","Date","Monthly.Rainfall","Groundwater.Level","Year","Month.Name","Month","Day"
"1","Andhra Pradesh","Adilabad",2005-01-01,91.8,7.07,2005,"January",1,1
"2","Andhra Pradesh","Adilabad",2005-02-01,0.6,3.366,2005,"February",2,1
"3","Andhra Pradesh","Adilabad",2005-03-01,15.3,3.88141176470588,2005,"March",3,1
"4","Andhra Pradesh","Adilabad",2005-04-01,15.5,0,2005,"April",4,1
"5","Andhra Pradesh","Adilabad",2005-05-01,0,9.90964705882353,2005,"May",5,1
"6","Andhra Pradesh","Adilabad",2005-06-01,152.1,5.91564705882353,2005,"June",6,1
"7","Andhra Pradesh","Adilabad",2005-07-01,655.6,5.11988235294118,2005,"July",7,1
"8","Andhra Pradesh","Adilabad",2005-08-01,136.4,7.06082352941176,2005,"August",8,1
"9","Andhra Pradesh","Adilabad",2005-09-01,218.4,4.21329411764706,2005,"September",9,1
"10","Andhra Pradesh","Adilabad",2005-10-01,150.8,4.07611764705882,2005,"October",10,1
"11","Andhra Pradesh","Adilabad",2005-11-01,0,6.56011764705882,2005,"November",11,1
"12","Andhra Pradesh","Adilabad",2005-12-01,0,4.77105882352941,2005,"December",12,1
"13","Andhra Pradesh","Adilabad",2006-01-01,0,7.99707317073171,2006,"January",1,1
"14","Andhra Pradesh","Adilabad",2006-02-01,0,5.73268292682927,2006,"February",2,1
"15","Andhra Pradesh","Adilabad",2006-03-01,19.9,5.84243902439024,2006,"March",3,1
"16","Andhra Pradesh","Adilabad",2006-04-01,23.3,0,2006,"April",4,1
"17","Andhra Pradesh","Adilabad",2006-05-01,65,10.2587804878049,2006,"May",5,1
"18","Andhra Pradesh","Adilabad",2006-06-01,93.5,6.22317073170732,2006,"June",6,1
"19","Andhra Pradesh","Adilabad",2006-07-01,261.8,5.54146341463415,2006,"July",7,1
"20","Andhra Pradesh","Adilabad",2006-08-01,363.6,6.55463414634146,2006,"August",8,1
"21","Andhra Pradesh","Adilabad",2006-09-01,336,4.02207317073171,2006,"September",9,1
"22","Andhra Pradesh","Adilabad",2006-10-01,35.3,4.26695121951219,2006,"October",10,1
"23","Andhra Pradesh","Adilabad",2006-11-01,34.3,6.60975609756098,2006,"November",11,1
"24","Andhra Pradesh","Adilabad",2006-12-01,0,4.61817073170732,2006,"December",12,1
"25","Andhra Pradesh","Adilabad",2007-01-01,0,7.62682926829268,2007,"January",1,1
"26","Andhra Pradesh","Adilabad",2007-02-01,0,5.12634146341463,2007,"February",2,1
"27","Andhra Pradesh","Adilabad",2007-03-01,0.8,5.35365853658537,2007,"March",3,1
"28","Andhra Pradesh","Adilabad",2007-04-01,22.1,0,2007,"April",4,1
"29","Andhra Pradesh","Adilabad",2007-05-01,4.3,10.2874390243902,2007,"May",5,1
"30","Andhra Pradesh","Adilabad",2007-06-01,141.9,5.77243902439024,2007,"June",6,1
"31","Andhra Pradesh","Adilabad",2007-07-01,109.6,5.35,2007,"July",7,1
"32","Andhra Pradesh","Adilabad",2007-08-01,219.2,7.93865853658537,2007,"August",8,1
"33","Andhra Pradesh","Adilabad",2007-09-01,259.2,3.73731707317073,2007,"September",9,1
"34","Andhra Pradesh","Adilabad",2007-10-01,31.5,4.22926829268293,2007,"October",10,1
"35","Andhra Pradesh","Adilabad",2007-11-01,7.9,7.30268292682927,2007,"November",11,1
"36","Andhra Pradesh","Adilabad",2007-12-01,0,4.5990243902439,2007,"December",12,1
"37","Andhra Pradesh","Adilabad",2008-01-01,0,8.67414634146341,2008,"January",1,1
"38","Andhra Pradesh","Adilabad",2008-02-01,1.9,5.11036585365854,2008,"February",2,1
"39","Andhra Pradesh","Adilabad",2008-03-01,60.5,5.18731707317073,2008,"March",3,1
"40","Andhra Pradesh","Adilabad",2008-04-01,5.5,0,2008,"April",4,1
"41","Andhra Pradesh","Adilabad",2008-05-01,0,10.2448780487805,2008,"May",5,1
"42","Andhra Pradesh","Adilabad",2008-06-01,144.1,5.43243902439024,2008,"June",6,1
"43","Andhra Pradesh","Adilabad",2008-07-01,207.1,5.12634146341463,2008,"July",7,1
"44","Andhra Pradesh","Adilabad",2008-08-01,357.7,6.52256097560976,2008,"August",8,1
"45","Andhra Pradesh","Adilabad",2008-09-01,129,3.57134146341463,2008,"September",9,1
"46","Andhra Pradesh","Adilabad",2008-10-01,10.7,3.55609756097561,2008,"October",10,1
"47","Andhra Pradesh","Adilabad",2008-11-01,0.3,7.74268292682927,2008,"November",11,1
"48","Andhra Pradesh","Adilabad",2008-12-01,0,1.35560975609756,2008,"December",12,1
"49","Andhra Pradesh","Adilabad",2009-01-01,15.5,6.626875,2009,"January",1,1
"50","Andhra Pradesh","Adilabad",2009-02-01,0,0,2009,"February",2,1
"51","Andhra Pradesh","Adilabad",2009-03-01,3.9,0,2009,"March",3,1
"52","Andhra Pradesh","Adilabad",2009-04-01,0,0,2009,"April",4,1
"53","Andhra Pradesh","Adilabad",2009-05-01,23.8,8.20125,2009,"May",5,1
"54","Andhra Pradesh","Adilabad",2009-06-01,105,0,2009,"June",6,1
"55","Andhra Pradesh","Adilabad",2009-07-01,185.4,0,2009,"July",7,1
"56","Andhra Pradesh","Adilabad",2009-08-01,188.1,6.78708333333333,2009,"August",8,1
"57","Andhra Pradesh","Adilabad",2009-09-01,115.9,0,2009,"September",9,1
"58","Andhra Pradesh","Adilabad",2009-10-01,59.4,0,2009,"October",10,1
"59","Andhra Pradesh","Adilabad",2009-11-01,22.7,6.79833333333333,2009,"November",11,1
"60","Andhra Pradesh","Adilabad",2009-12-01,0.6,0,2009,"December",12,1
"61","Uttar Pradesh","Agra",2005-01-01,0,13.9272222222222,2005,"January",1,1
"62","Uttar Pradesh","Agra",2005-02-01,0,0,2005,"February",2,1
"63","Uttar Pradesh","Agra",2005-03-01,8.5,0,2005,"March",3,1
"64","Uttar Pradesh","Agra",2005-04-01,3,0,2005,"April",4,1
"65","Uttar Pradesh","Agra",2005-05-01,1,14.0827777777778,2005,"May",5,1
"66","Uttar Pradesh","Agra",2005-06-01,9.7,0,2005,"June",6,1
"67","Uttar Pradesh","Agra",2005-07-01,312.4,0,2005,"July",7,1
"68","Uttar Pradesh","Agra",2005-08-01,37.5,12.6033333333333,2005,"August",8,1
"69","Uttar Pradesh","Agra",2005-09-01,46.3,0,2005,"September",9,1
"70","Uttar Pradesh","Agra",2005-10-01,0,0,2005,"October",10,1
"71","Uttar Pradesh","Agra",2005-11-01,0,13.235,2005,"November",11,1
"72","Uttar Pradesh","Agra",2005-12-01,1,0,2005,"December",12,1
"73","Uttar Pradesh","Agra",2006-01-01,0,13.8177777777778,2006,"January",1,1
"74","Uttar Pradesh","Agra",2006-02-01,0,0,2006,"February",2,1
"75","Uttar Pradesh","Agra",2006-03-01,1,0,2006,"March",3,1
"76","Uttar Pradesh","Agra",2006-04-01,0.1,0,2006,"April",4,1
"77","Uttar Pradesh","Agra",2006-05-01,7,12.2916666666667,2006,"May",5,1
"78","Uttar Pradesh","Agra",2006-06-01,20,1.55277777777778,2006,"June",6,1
"79","Uttar Pradesh","Agra",2006-07-01,190.8,1.55,2006,"July",7,1
"80","Uttar Pradesh","Agra",2006-08-01,63.5,13.5038888888889,2006,"August",8,1
"81","Uttar Pradesh","Agra",2006-09-01,29.8,1.49777777777778,2006,"September",9,1
"82","Uttar Pradesh","Agra",2006-10-01,3,1.49722222222222,2006,"October",10,1
"83","Uttar Pradesh","Agra",2006-11-01,0,14.7155555555556,2006,"November",11,1
"84","Uttar Pradesh","Agra",2006-12-01,0,1.54555555555556,2006,"December",12,1
"85","Uttar Pradesh","Agra",2007-01-01,0,15.1922222222222,2007,"January",1,1
"86","Uttar Pradesh","Agra",2007-02-01,31.5,0,2007,"February",2,1
"87","Uttar Pradesh","Agra",2007-03-01,24.2,0,2007,"March",3,1
"88","Uttar Pradesh","Agra",2007-04-01,0,0,2007,"April",4,1
"89","Uttar Pradesh","Agra",2007-05-01,4.5,12.1888888888889,2007,"May",5,1
"90","Uttar Pradesh","Agra",2007-06-01,62.9,1.48277777777778,2007,"June",6,1
"91","Uttar Pradesh","Agra",2007-07-01,81.3,0,2007,"July",7,1
"92","Uttar Pradesh","Agra",2007-08-01,116.1,11.78,2007,"August",8,1
"93","Uttar Pradesh","Agra",2007-09-01,46.6,1.48444444444444,2007,"September",9,1
"94","Uttar Pradesh","Agra",2007-10-01,0,1.48444444444444,2007,"October",10,1
"95","Uttar Pradesh","Agra",2007-11-01,0,11.6322222222222,2007,"November",11,1
"96","Uttar Pradesh","Agra",2007-12-01,0.4,1.49555555555556,2007,"December",12,1
"97","Uttar Pradesh","Agra",2008-01-01,0,16.523125,2008,"January",1,1
"98","Uttar Pradesh","Agra",2008-02-01,0,1.71375,2008,"February",2,1
"99","Uttar Pradesh","Agra",2008-03-01,0,1.729375,2008,"March",3,1
"100","Uttar Pradesh","Agra",2008-04-01,14.1,0,2008,"April",4,1
"101","Uttar Pradesh","Agra",2008-05-01,22.2,14.616875,2008,"May",5,1
"102","Uttar Pradesh","Agra",2008-06-01,116,1.778125,2008,"June",6,1
"103","Uttar Pradesh","Agra",2008-07-01,173.2,1.7475,2008,"July",7,1
"104","Uttar Pradesh","Agra",2008-08-01,162.7,8.269375,2008,"August",8,1
"105","Uttar Pradesh","Agra",2008-09-01,56.6,1.7025,2008,"September",9,1
"106","Uttar Pradesh","Agra",2008-10-01,0.3,1.714375,2008,"October",10,1
"107","Uttar Pradesh","Agra",2008-11-01,0,8.836875,2008,"November",11,1
"108","Uttar Pradesh","Agra",2008-12-01,0,0,2008,"December",12,1
"109","Uttar Pradesh","Agra",2009-01-01,0,13.7709090909091,2009,"January",1,1
